f1_record,f1_losses,f1_wr,f1_grappling,f1_striking,f1_sub_rate,f1_ko_rate,f1_td_acc,f1_td_def,f1_weight_exp,f1_age,f1_reach,f1_height,f1_recent_form,f1_opp_quality,f1_champ_exp,f1_control_time,f1_strike_def,f1_strike_acc,f1_win_streak,f1_ufc_fights,f1_ufc_record,f2_record,f2_losses,f2_wr,f2_grappling,f2_striking,f2_sub_rate,f2_ko_rate,f2_td_acc,f2_td_def,f2_weight_exp,f2_age,f2_reach,f2_height,f2_recent_form,f2_opp_quality,f2_champ_exp,f2_control_time,f2_strike_def,f2_strike_acc,f2_win_streak,f2_ufc_fights,f2_ufc_record,record_diff,wr_diff,grappling_diff,striking_diff,td_acc_diff,td_def_diff,weight_exp_diff,age_diff,reach_diff,height_diff,recent_form_diff,opp_quality_diff,champ_exp_diff,control_time_diff,strike_def_diff,strike_acc_diff,win_streak_diff,ufc_fights_diff,ufc_record_diff,outcome
14,3,0.8235294117647058,0.2808771035952111,0.3090922087468091,0.4847377374515603,0.032986763227481876,0.5063506842521702,0.581974759786869,0.3,36,65.0,69.13505640937585,0.9523727084512269,0.12445623049947865,0.6516716859710607,0.16588035948255864,0.8051227856874403,0.8881124246901441,9,8,5,23,1,0.9583333333333334,0.2302299773115892,0.3966862198188773,0.6147177809190852,0.027428815553021745,0.39538840536028397,0.20819039207614504,1.0,32,75.03330222902002,69.32156495355473,0.6919433731510836,0.5343124734827657,0.23425004804515479,0.02900277291881481,0.42074700772345736,0.08295148594183392,14,11,9,-9,-0.13480392156862753,0.05064712628362192,-0.08759401107206821,0.11096227889188626,0.37378436771072393,-0.7,4,-10.033302229020023,-0.18650854417887786,0.26042933530014334,-0.40985624298328704,0.4174216379259059,0.13687758656374382,0.384375777963983,0.8051609387483102,-5,-3,-4,1
12,6,0.6666666666666666,0.9243810756387036,0.3346725681268914,0.4656680050761234,0.1570227692041752,0.5613305432452239,0.9273193495728524,0.3,25,65.06602732274668,69.01022691328492,0.5338771614609633,0.3102173586731141,0.429508291618738,0.3711537855239935,0.863519861488382,0.4684159873847584,5,9,5,11,5,0.6875,0.8790503741044098,0.6459869285059459,0.5513708307156723,0.01638827540704159,0.4602497338689661,0.9861286346806225,1.0,34,80.0,73.0009712155242,0.3655163609354537,0.10049746914174244,0.5425082487761201,0.3087667588550672,0.837981495559007,0.7873309677166966,10,23,14,1,-0.02083333333333337,0.04533070153429386,-0.31131436037905447,0.1010808093762578,-0.05880928510777006,-0.7,-9,-14.933972677253323,-3.9907443022392783,0.1683608005255096,0.20971988953137166,-0.11299995715738215,0.06238702666892626,0.025538365929374973,-0.3189149803319382,-5,-14,-9,0
29,5,0.8529411764705882,0.4969049218568152,0.8736445064835545,0.01882645697601049,0.3805635573770686,0.4182521422546307,0.412393968297183,0.3,34,67.642613302966,70.55409958980722,0.962482049009624,0.4807624480815966,1.0,0.022431658607573547,0.7343489543082167,0.2499245810127819,2,22,18,18,3,0.8571428571428571,0.489270000354143,0.7027784425748699,0.008694250246513427,0.07312129830841771,0.018975538006725138,0.7950883484834409,1.0,26,75.03879324680403,70.21719637583634,0.741439589594337,0.48621659463210554,0.04096770693232936,0.4950999926843176,0.6060191941411746,0.32301233107652355,12,7,5,11,-0.004201680672268893,0.007634921502672198,0.17086606390868464,0.39927660424790556,-0.3826943801862579,-0.7,8,-7.396179943838035,0.33690321397088496,0.221042459415287,-0.005454146550508909,0.9590322930676707,-0.472668334076744,0.12832976016704212,-0.07308775006374166,-10,15,13,1
21,4,0.84,0.3026492734859685,0.6218219301630071,0.3044905544453824,0.003291258148264026,0.21927227554182968,0.40421111074477034,0.3,25,67.15459896668601,73.2226352832325,0.5488613164622145,0.5403300597284035,0.17803723715714112,0.008807589539550131,0.5801025715698432,0.7982010424803715,2,21,16,9,1,0.9,0.2789556596451692,0.28323514891965745,0.06542821146886828,0.24975863448841207,0.03504288507956275,0.26580844891115535,1.0,26,78.73695291951991,73.13045416509384,0.3786263575227049,0.22270481126062264,0.1511623746279381,0.11962708981072676,0.518652265318223,0.47982922669945194,1,6,4,12,-0.06000000000000005,0.023693613840799266,0.3385867812433497,0.18422939046226694,0.138402661833615,-0.7,-1,-11.582353952833898,0.0921811181386687,0.17023495893950957,0.3176252484677809,0.026874862529203014,-0.11081950027117662,0.06145030625162029,0.31837181578091955,1,15,12,0
12,5,0.7058823529411765,0.8344356127925949,0.12479440960125915,0.6774362828958789,0.012291260336579284,0.7993476622797075,0.6304504157818561,0.3,28,70.20513516629683,71.71763326666546,0.7327208753045356,0.3696960900263389,0.12908604997633868,0.5745857124352667,0.8861739426872787,0.8092853462258655,11,9,6,27,6,0.8181818181818182,0.6494236665014292,0.5758376077870135,0.5111239629338078,0.041929058691141476,0.6768919192529351,0.9224511649582456,1.0,28,70.29611854400599,71.68491383601503,0.7456630150681806,0.7071307939295728,0.13740478360042452,0.2070569917244786,0.6812912182972278,0.38865119876466625,13,21,14,-15,-0.11229946524064172,0.18501194629116569,-0.4510431981857544,0.12245574302677242,-0.2920007491763895,-0.7,0,-0.09098337770916487,0.032719430650431036,-0.012942139763645,-0.3374347039032339,-0.008318733624085833,0.36752872071078807,0.20488272439005084,0.4206341474611992,-2,-12,-8,0
22,6,0.7857142857142857,0.4407978554116641,0.9094756956428781,0.31445440303168726,0.029761738622390663,0.04674678673200348,0.15510540107631962,0.3,27,65.55583528153278,67.79548759423565,0.5180103925507196,0.44558374679574275,0.4352369860846933,0.30903004495385444,0.7102868898841332,0.49192721263263156,13,6,3,18,2,0.9,0.7945203173277734,0.4988746642300919,0.34562741432553523,0.2793154655648752,0.8231633494793539,0.8654445347493804,1.0,35,73.9337504636306,70.28358159901845,0.9755868819384363,0.16966228122518393,0.09968220097733403,0.26097881031791526,0.3191952529096255,0.9447159859121618,1,17,13,4,-0.11428571428571432,-0.3537224619161093,0.4106010314127862,-0.7764165627473504,-0.7103391336730608,-0.7,-8,-8.377915182097823,-2.488094004782795,-0.4575764893877168,0.27592146557055885,0.33555478510735925,0.04805123463593919,0.3910916369745077,-0.4527887732795302,12,-11,-10,0
8,4,0.6666666666666666,0.5728885116372194,0.6016659194440818,0.020919120350260736,0.27467352680760626,0.049145112072002735,0.37967128445552584,0.3,28,66.71479525281654,67.18061409970309,0.32917315249912926,0.34066958240292755,0.2513250612555048,0.06322009689417005,0.512057161711341,0.4363865805823051,4,15,9,17,2,0.8947368421052632,0.5979943972436395,0.7916409476500325,0.028775997678751407,0.21195270285764756,0.17944090912938931,0.5369933322431925,1.0,31,70.46936511326359,68.57899768186127,0.9210615726369626,0.7970290089381304,0.47144164382348097,0.12614866695887125,0.5605609010861308,0.8390396914992213,5,10,8,-9,-0.22807017543859653,-0.02510588560642002,-0.1899750282059507,-0.1302957970573866,-0.15732204778766662,-0.7,-3,-3.7545698604470488,-1.398383582158175,-0.5918884201378334,-0.4563594265352029,-0.22011658256797617,-0.0629285700647012,-0.0485037393747898,-0.4026531109169162,-1,5,1,0
27,7,0.7941176470588235,0.26441324652967635,0.4439808539196609,0.26331614015273136,0.09213738766067685,0.35830198840246047,0.41993166464016096,0.3,25,72.90554750448028,69.36776670381032,0.8254032235394397,0.8052317612159076,0.23462019808416743,0.6560801985108473,0.8668976810976438,0.45133034398391947,5,5,3,16,5,0.7619047619047619,0.6135168057713214,0.9467228580925762,0.4162304079465611,0.6538300404302351,0.17779008148426906,0.8876479235575062,1.0,23,69.99813915828118,73.49217038499526,0.7181533209403891,0.19884047376061673,0.007210919012977922,0.3380905504905415,0.4779192589685055,0.6623611161492543,13,18,13,11,0.03221288515406162,-0.34910355924164505,-0.5027420041729153,0.1805119069181914,-0.46771625891734525,-0.7,2,2.907408346199105,-4.124403681184944,0.10724990259905065,0.6063912874552908,0.2274092790711895,0.3179896480203058,0.38897842212913825,-0.21103077216533483,-8,-13,-10,0
11,3,0.7857142857142857,0.24098661575748836,0.7505281973776268,0.4081950125179126,0.16647645244687626,0.4552968315693945,0.5584862566714841,0.3,32,69.85341776750862,69.07710303070178,0.5884932968400431,0.5541117082077551,0.14147522169221233,0.0321886616176449,0.4834465492095678,0.6457876723564846,4,14,9,11,2,0.8461538461538461,0.6485586330653902,0.1581254365980694,0.595645425113133,0.11880459423054851,0.38265337900788804,0.3080422630569792,1.0,27,67.7356394782743,70.75221204251888,0.3738122836327978,0.37704453569817564,0.24593521295211415,0.7432622058051271,0.820522486936429,0.5268260452621727,4,20,16,0,-0.06043956043956045,-0.4075720173079018,0.5924027607795573,0.07264345256150645,0.2504439936145049,-0.7,5,2.117778289234323,-1.6751090118170993,0.21468101320724536,0.17706717250957948,-0.10445999125990182,-0.7110735441874823,-0.33707593772686123,0.1189616270943119,0,-6,-7,0
25,8,0.7575757575757576,0.6057548798733383,0.5456402508508456,0.08331817735693643,0.0478616048958067,0.4663114370104471,0.707222489296833,0.3,30,67.69651131770306,68.38165575306272,0.7024759439638433,0.401624698779256,0.392628059589978,0.3163572890850573,0.4479111777652628,0.310924670064968,7,16,12,15,5,0.75,0.7301227071278001,0.512573987853427,0.15496539402831677,0.2957304771606595,0.513378934472098,0.847493296201529,1.0,32,74.47735379202445,70.74357694780979,0.3796058974122561,0.4203397802766164,0.15992687057560656,0.7109874272347219,0.3905098611124473,0.7244705256767244,10,13,7,10,0.007575757575757569,-0.12436782725446183,0.03306626299741855,-0.04706749746165095,-0.14027080690469607,-0.7,-2,-6.780842474321389,-2.361921194747069,0.3228700465515872,-0.018715081497360397,0.23270118901437142,-0.3946301381496646,0.057401316652815504,-0.41354585561175644,-3,3,5,0
